|100000|300000|
|100000|50000|
|50000|30000|
|30000|10000|
|100000|710000|
|710000|450000|
|450000|430000|
|430000|410000|
|410000|330000|
|330000|310000|
|310000|210000|
|210000|200000|
|200000|250000|
|250000|266000|
|200000|361000|
|361000|350000|
|350000|362000|
|350000|315000|
|510000|518000|
|510000|530000|
|530000|570000|
|570000|572000|
|400000|610000|
|610000|650000|
|650000|550000|
|150000|110000|
|110000|130000|
|110000|116000|
|730000|750000|
|750000|830000|
|100000|117000|
|117000|120000|
|120000|121000|
|113000|518000|
|113000|523000|
|113000|528000|
|113000|529000|
|114000|430000|
|113000|410000|
|104000|106000|
|106000|107000|
|107000|108000|
|123000|121000|
|121000|124000|
|125000|127000|
|430000|510000|
|410000|510000|
|450000|200000|
|710000|400000|
|610000|730000|
|650000|530000|
|110000|100000|
|150000|100000|
